title,amazon_rating,isbn10,amazon_price_usd,first_name,last_name,amazon_ratings_count
I Do What I Do,4.3,9352770145,5.444999999999999,Raghuram,G. Rajan   ,313
So You Want to Know About Economics,4.7,8129145197,2.925,Roopa,Pai    ,65
Fault Lines : How Hidden Fractures Still Threaten The World Economy,4.7,9350291738,6.3149999999999995,Raghuram,Rajan    ,139
UGC NET Economics,4.2,9312146440,7.035,Sunder,Gopal Mishra   ,14
15 Sample Question Papers Economics Class 12th CBSE,4.5,9313166046,3.0,Arihant,Experts    ,2
CBSE All  In One Economics Class 11 for 2018 - 19,3.6,9312148389,3.96,Arihant,Experts    ,17
CBSE Chapterwise Solved Papers Economics Class 12 for 2018-2019,4.3,9313161451,2.385,Arihant,Expert    ,17
15 Sample Question Papers Economic Class 11th CBSE,3.0,9313166208,1.635,Arihant,Expert    ,1
KVS PGT Self Preparation Guide Economics Recruitment Examination,3.3,9312144960,3.42,Arihant,Experts    ,3
CBSE All  In One Economics CBSE Class 12 for 2018 - 19,3.8,9312149083,3.15,Arihant,Experts    ,32
Objective Economics (वस्तुनिष्ठ अर्थशास्त्र),3.4,9350126672,2.025,Sanjay,Kumar    ,8
Mastering the Market Cycle: Getting the Odds on Your Side,4.1,1473680379,9.24,Howard,Marks    ,15
Indian Economy,3.6,9352531299,7.484999999999999,Gaurav,Datt    ,48
EAD 15+1 cbse sample papers for class 12 Economics for 2019 examination,3.0,9387984532,2.835,Rachna,Sagar    ,2
The Business School,4.5,8186775811,1.6199999999999999,Robert,T. Kiyosaki   ,216
Oswaal CBSE Question Bank Class 10 Social Science Chapterwise and Topicwise (...,4.7,9387504921,4.8,Oswaal,Editorial Board   ,167
Xam Idea Economics Class 12 for 2019 Exam,3.1,9387958477,5.85,VK,Global  Pvt. Ltd. ,4
The Most Important Thing: Uncommon Sense for The Thoughtful Investor,4.7,9353022797,3.57,Howard,Marks    ,30
Capital (Das Kapital),4.5,8175994142,4.484999999999999,Karl,Marx    ,48
India After Gandhi: The History of the World's Largest Democracy,4.5,9382616977,7.154999999999999,Ramachandra,Guha    ,232
Questions Are the Answers,4.4,8186775056,1.2449999999999999,Allan,Pease    ,226
Advanced Economic Theory,3.3,9352533321,9.825,H,L Ahuja   ,23
Children's Encyclopedia - The World of Knowledge: Familiarising Children with...,4.0,9350571099,9.645,V&S,Editorial Board   ,112
Student's Encyclopedia of General Knowledge (General Press),4.1,9380914199,1.9649999999999999,Azeem,Ahmad Khan   ,189
Objective Civil Engineering,3.5,8174827986,1.545,P.K.,Mishra    ,37
Children's Science Encyclopedia (Hindi): Familiarises Children with Important...,3.3,9381588813,6.194999999999999,A.H,Hashmi    ,4
First Encyclopedia of Animals (Usborne First Encyclopedias),5.0,1409522423,6.825,Paul,Dowswell    ,2
Tarot Predictions 2019,5.0,9353020123,2.745,Karmel,Nair    ,11
"National Geographic Answer Book: 10,001 Fast Facts About Our World",4.0,1426208928,11.25,National,Geographic    ,6
"Horoscope 2019: Your Complete Forecast, Scorpio",4.0,9353024226,1.1099999999999999,Bejan,Daruwalla    ,1
Quick General Knowledge 2018 with Current Affairs Update,3.4,9386323567,0.5549999999999999,Disha,Experts    ,90
5 Lb. Book of Gre Practice Problems (Manhattan Prep 5 lb Series),4.6,1506247598,0.015,Manhattan,Prep    ,151
Prep Guide To BITSAT 2019,4.1,9313163802,7.455,Arihant,Expert    ,19
NEET Prep Guide 2019 with free Revision Points Booklet,4.5,9313162539,10.275,Arihant,Expert    ,7
Legal Awareness and Legal Reasoning: For CLAT and Other Law Entrance Examinations...,4.4,9352864964,6.18,A.,P. Bhardwaj   ,46
50 Successful Harvard Application Essays: What Worked for Them Can Help You Get...,5.0,1250127556,4.785,Harvard,Crimson    ,4
"CISSP All-in-One Exam Guide, Eighth Edition",3.7,1260142655,0.06,Shon,Harris    ,11
Family Wisdom From The Monk Who Sold His Ferrari,4.3,8179922308,3.21,Robin,Sharma    ,72
